# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-12
---
'yi'xing'hu'xi'shuai'jie Ⅰ型呼吸衰竭
'gao'pin'qi'liu'zu'duan'shi'gao'pin'zhen'dang'tong'qi 高频气流阻断式高频振荡通气
'gao'pin'tong'qi 高频通气
'gao'pin'xiong'bi'zhen'dang 高频胸壁振荡
'gao'pin'zhen'dang'tong'qi 高频振荡通气
'gao'pin'zheng'ya'tong'qi 高频正压通气
'gao'shui'ping'hu'qi'mo'zheng'ya 高水平呼气末正压
'gao'ya'yang 高压氧
'gao'ya'yang'liao 高压氧疗
'gen'zhi'xing'fang'liao 根治性放疗
'gen'zhi'xing'shou'shu 根治性手术
'gen'zhi'xing'hua'liao 根治性化疗
'geng'huan'qi'guan'cha'guan 更换气管插管
'gu'xi'xing'fang'liao 姑息性放疗
'gu'xi'xing'hua'liao 姑息性化疗
'gu'xi'xing'shou'shu 姑息性手术
'guang'dong'li'xue'liao'fa 光动力学疗法
'dan'yang'hun'he'tong'qi 氮-氧混合通气
'hou'bei'tong'qi 后备通气
'hu'qi'guo'cheng'tong'bu 呼气过程同步
'hu'qi'mo'fu'ya 呼气末负压
'hu'qi'mo'bing'qi 呼气末屏气
'hu'qi'mo'zheng'ya 呼气末正压
'hu'xi'xi'tong'yin'liu 呼吸系统引流
'hu'xi'zhi'chi'ji'shu 呼吸支持技术
'huan'jia'mo'chuan'ci 环甲膜穿刺
'huan'jia'mo'qie'kai'shu 环甲膜切开术
'huan'man'lian'xu'xing'chao'lv 缓慢连续性超滤
'ji'xie'tong'qi 机械通气
'ji'xie'tong'qi'yang'liao 机械通气氧疗
'jia'ting'yang'liao 家庭氧疗
'jian'duan'ting'ji'fa 间断停机法
'jian'jie'she'zhi'chao'qi'rong'ji 间接设置潮气容积
'jian'xie'fu'ya'tong'qi 间歇负压通气
'jian'xie'zheng'ya'tong'qi 间歇正压通气
'jian'xie'zhi'ling'tong'qi 间歇指令通气
'jie'ru'zhi'liao 介入治疗
'jing'bi'qi'guan'cha'guan'ji'xie'tong'qi 经鼻气管插管机械通气
'jing'bi'zhao'wu'chuang'zheng'ya'tong'qi 经鼻罩无创正压通气
'jing'bi'qi'guan'cha'guan'shu 经鼻气管插管术
'jing'kou'qi'guan'cha'guan 经口气管插管
'jing'kou'qi'guan'cha'guan'shu 经口气管插管术
'jing'kou'qi'guan'cha'guan'ji'xie'tong'qi 经口气管插管机械通气
'jing'mian'zhao'wu'chuang'zheng'ya'tong'qi 经面罩无创正压通气
'jing'pi'chuan'ci'fei'huo'jian'shu 经皮穿刺肺活检术
'jing'pi'kuo'zhang'qi'guan'zao'kou'shu 经皮扩张气管造口术
'jing'pi'qi'guan'qie'kai'shu 经皮气管切开术
'jing'pi'wei'bo'ning'gu'liao'fa 经皮微波凝固疗法
'jing'qi'guan'cha'guan'ji'xie'tong'qi 经气管插管机械通气
'jing'qi'guan'qie'kai'ji'xie'tong'qi 经气管切开机械通气
'jing'zhi'qi'guan'fei'huo'jian 经支气管肺活检
'jing'zhi'qi'guan'jing'qiang'nei'jie'ru'zhi'liao'shu 经支气管镜腔内介入治疗术
'jing'zhi'qi'guan'zhen'xi'huo'jian 经支气管针吸活检
'ju'bu'hua'liao 局部化疗
'kong'zhi'tong'qi 控制通气
'kong'zhi'xing'fei'peng'zhang 控制性肺膨胀
'kong'zhi'xing'yang'liao 控制性氧疗
'leng'dong'liao'fa 冷冻疗法
'lian'xu'qi'liu'tong'qi 连续气流通气
'lian'xu'xing'dong'jing'mai'xue'ye'lv'guo 连续性动-静脉血液滤过
'lian'xu'xing'dong'jing'mai'xue'ye'tou'xi 连续性动-静脉血液透析
'lian'xu'xing'dong'jing'mai'xue'ye'tou'xi'lv'guo 连续性动-静脉血液透析滤过
'lian'xu'xing'jing'mai'jing'mai'xue'ye'lv'guo 连续性静脉-静脉血液滤过
'lian'xu'xing'jing'mai'jing'mai'xue'ye'tou'xi 连续性静脉-静脉血液透析
'lian'xu'xing'xue'ye'jing'hua 连续性血液净化
'lin'ba'jie'chuan'ci'shu 淋巴结穿刺术
'lin'ba'jie'xi'zhen'chuan'ci'chou'xi'shu 淋巴结细针穿刺抽吸术
'liu'liang'chu'fa 流量触发
'liu'liang'shi'ying'rong'ji'kong'zhi'tong'qi 流量适应容积控制通气
'liu'liang'xian'zhi'shi'jian'zhuan'huan 流量限制时间转换
'mang'fa'qi'guan'cha'guan 盲法气管插管
'liu'liang'zhuan'huan 流量转换
'mian'yi'xi'fu 免疫吸附
'mian'yi'zhi'liao 免疫治疗
'nei'jing'xia'fei'jian'rong'shu 内镜下肺减容术
'nei'yuan'xing'hu'qi'mo'zheng'ya 内源性呼气末正压
'ni'xing'qi'guan'cha'guan 逆行气管插管
'ni'gu'ding'ti'dai'liao'fa 尼古丁替代疗法
'nong'du'zheng'fu'su'ji'shu'hua'ce'lve 脓毒症复苏集束化策略
'nong'du'zheng'ji'shu'hua'zhi'liao'ce'lve 脓毒症集束化治疗策略
'qi'dao'nei'zhi'jia'zhi'ru'shu 气道内支架植入术
'qi'dao'ya'li'shi'fang'tong'qi 气道压力释放通气
'qi'guan'cha'guan 气管插管
'qi'guan'cha'guan'ba'chu 气管插管拔除
'qi'guan'cha'guan'shu 气管插管术
'qi'guan'jing'jian'cha 气管镜检查
'qi'guan'jing'xia'qi'guan'yi'wu'qu'chu'shu 气管镜下气管异物取出术
'qi'guan'jing'xia'xi'tan 气管镜下吸痰
'qi'guan'nei'chui'qi 气管内吹气
'qi'guan'nei'chui'yang 气管内吹氧
'qi'guan'nei'pen'she 气管内喷射
'qi'guan'nei'yang'liao 气管内氧疗
'qi'guan'qie'kai'hu'xi'ji'fu'zhu'tong'qi 气管切开呼吸机辅助通气
'qi'guan'qie'kai'shu 气管切开术
'qi'guan'sun'shang 气管损伤
'qi'guan'tao'guan 气管套管
'qi'guan'yin'liu 气管引流
'qi'guan'zhi'qi'guan'yi'wu'qu'chu'shu 气管支气管异物取出术
'qiang'nei'jin'ju'li'zhi'liao 腔内近距离治疗
'qu'chu'qi'guan'tao'guan 去除气管套管
'quan'ye'ti'tong'qi 全液体通气
'ren'gong'hu'xi 人工呼吸
'ren'gong'qi'dao 人工气道
'ren'gong'qi'dao'ji'xie'tong'qi 人工气道机械通气
'ren'ji'dui'kang 人机对抗
'ren'ji'tong'bu 人机同步
'rong'ji'chu'fa 容积触发
'rong'ji'fu'zhu'kong'zhi'tong'qi 容积辅助-控制通气
'rong'ji'fu'zhu'tong'qi 容积辅助通气
'rong'ji'kong'zhi'jian'xie'zhi'ling'tong'qi 容积控制间歇指令通气
'rong'ji'kong'zhi'tong'qi 容积控制通气
'rong'ji'kong'zhi'tong'bu'jian'xie'zhi'ling'tong'qi 容积控制同步间歇指令通气
'rong'ji'kong'zhi'tong'bu'jian'xie'zhi'ling'tong'qi'jia'ya'li'zhi'chi'tong'qi 容积控制同步间歇指令通气加压力支持通气
'rong'ji'xian'zhi 容积限制
'rong'ji'xian'zhi'rong'ji'zhuan'huan 容积限制容积转换
'rong'ji'xian'zhi'shi'jian'zhuan'huan 容积限制时间转换
'rong'ji'zhi'chi'tong'qi 容积支持通气
'rong'ji'zhuan'huan 容积转换
'shen'jing'tiao'jie'fu'zhu'tong'qi 神经调节辅助通气
'shi'hua'liao'fa 湿化疗法
'shi'jian'xian'zhi 时间限制
'shi'jian'zhuan'huan 时间转换
'shi'ying'xing'zhi'chi'tong'qi 适应性支持通气
'shou'shu'zhi'liao 手术治疗
'tan'qi'yang'tong'qi 叹气样通气
'shuang'chong'kong'zhi'mo'shi 双重控制模式
'shuang'xiang'qi'dao'zheng'ya 双相气道正压
'ti'wai'er'yang'hua'tan'qu'chu 体外二氧化碳去除
'ti'wei'yin'liu 体位引流
'tong'qi'mo'shi 通气模式
'tong'feng'ya'li 通风压力
'tong'bu 同步
'tong'qi'can'shu 通气参数
'tong'bu'chi'xu'zhi'ling'tong'qi 同步持续指令通气
'tong'bu'jian'xie'zhi'ling'tong'qi 同步间歇指令通气
'tong'bu'jian'xie'zhi'ling'tong'qi'che'ji'fa 同步间歇指令通气撤机法
'tong'bu'jian'xie'zhi'ling'tong'qi'jia'ya'li'zhi'chi'tong'qi 同步间歇指令通气加压力支持通气
'tong'bu'jian'xie'zhi'ling'tong'qi'jia'ya'li'zhi'chi'tong'qi'che'ji'fa 同步间歇指令通气加压力支持通气撤机法
'tong'bu'shi'jian 同步时间
'wan'quan'chang'wai'ying'yang 完全肠外营养
'wang'fan'huo'sai'beng'shi'gao'pin'zhen'dang'tong'qi 往返活塞泵式高频振荡通气
'wei'bo'zhi'liao 微波治疗
'wei'qi'guan'zao'kou'shu 微气管造口术
'wu'chuang'chi'xu'qi'dao'zheng'ya 无创持续气道正压
'wu'chuang'ji'xie'tong'qi 无创机械通气
'wu'chuang'hu'xi'ji'fu'zhu'tong'qi 无创呼吸机辅助通气
'wu'chuang'zheng'ya'tong'qi 无创正压通气
'wu'hu'xi'yang'liao 无呼吸氧疗
'wu'hua'zhi'liao 雾化治疗
'xi'hu'qi'zhuan'huan 吸呼气转换
'xi'hu'qi'zhuan'huan'tong'bu 吸呼气转换同步
'xi'qi'chu'fa'tong'bu 吸气触发同步
'xi'qi'chu'fa 吸气触发
'xi'qi'guo'cheng'tong'bu 吸气过程同步
'xi'qi'mo'bing'qi 吸气末屏气
'xi'qi'mo'zheng'ya 吸气末正压
'xi'tan'shu 吸痰术
'xian'zhi'jing'yin'dao'qi'guan'cha'guan 纤支镜引导气管插管
'xiao'chao'qi'liang 小潮气量
'xiao'chao'qi'liang'ji'xie'tong'qi 小潮气量机械通气
'xiong'kuo'wai'chi'xu'fu'ya 胸廓外持续负压
'xiong'qiang'bi'shi'yin'liu'shu 胸腔闭式引流术
'xiong'qiang'chuan'ci'shu 胸腔穿刺术
'xiong'qiang'guan'xi 胸腔灌洗
'xiong'qiang'yin'liu 胸腔引流
'xiong'mo'zhan'lian'shu 胸膜粘连术
'xiong'qiang'chuan'ci'zhi'guan'shu 胸腔穿刺置管术
'xiong'qiang'fu'ya'bi'shi'yin'liu 胸腔负压闭式引流
'xiong'qiang'zhi'guan'yin'liu'shu 胸腔置管引流术
'xue'ye'guan'liu 血液灌流
'xue'ye'jing'hua 血液净化
'xue'ye'lv'guo 血液滤过
'xue'ye'tou'xi 血液透析
'ya'li'chu'fa 压力触发
'ya'li'tiao'jie'rong'ji'kong'zhi'tong'qi 压力调节容积控制通气
'ya'li'fang'da 压力放大
'ya'li'fu'zhu'kong'zhi'tong'qi 压力辅助-控制通气
'ya'li'fu'zhu'tong'qi 压力辅助通气
'ya'li'kong'zhi'jian'xie'zhi'ling'tong'qi 压力控制间歇指令通气
'ya'li'kong'zhi'tong'qi 压力控制通气
'ya'li'kong'zhi'tong'bu'jian'xie'zhi'ling'tong'qi 压力控制同步间歇指令通气
'ya'li'kong'zhi'tong'bu'jian'xie'zhi'ling'tong'qi'jia'ya'li'zhi'chi'tong'qi 压力控制同步间歇指令通气加压力支持通气
'ya'li'xian'zhi 压力限制
'ya'li'xian'zhi'liu'liang'zhuan'huan 压力限制流量转换
'ya'li'xian'zhi'shi'jian'zhuan'huan 压力限制时间转换
'ya'li'xian'zhi'tong'qi 压力限制通气
'ya'li'xian'zhi'ya'li'zhuan'huan 压力限制压力转换
'ya'li'zhi'chi'tong'qi 压力支持通气
'ya'li'zhi'chi'tong'qi'che'ji'fa 压力支持通气撤机法
'ya'li'zhuan'huan 压力转换
'ya'deng'li'zi'ti'ning'gu'shu 氩等离子体凝固术
'yan'cao'kong'zhi 烟草控制
'yan'chi'shi'jian 延迟时间
'yang'qi'liao'fa 氧气疗法
'yao'su'yin'shi 要素饮食
'ye'ti'fu'su 液体复苏
'ye'ti'tong'qi 液体通气
'ye'wo'lin'ba'jie'chuan'ci'huo'jian 腋窝淋巴结穿刺活检
'ye'wo'lin'ba'jie'xi'zhen'chuan'ci 腋窝淋巴结细针穿刺
'ye'wo'qian'shao'lin'ba'jie'huo'jian 腋窝前哨淋巴结活检
'yi'yang'hua'dan'xi'ru'liao'fa 一氧化氮吸入疗法
'you'chuang'hu'xi'ji'fu'zhu'tong'qi 有创呼吸机辅助通气
'yin'liu 引流
'you'chuang'wu'chuang'xu'guan'tong'qi 有创无创序贯通气
'0.1'miao'kou'qiang'bi'he'ya 0.1秒口腔闭合压
'0.5'miao'yong'li'hu'qi'rong'ji 0.5秒用力呼气容积
'25%'chao'qi'rong'ji'hu'liu'liang 25%潮气容积呼流量
'25%'chao'qi'rong'ji'hu'qi'liu'liang'yu'chao'qi'hu'qi'feng'liu'liang'bi'zhi 25%潮气容积呼气流量与潮气呼气峰流量比值
'2'miao'yong'li'hu'qi'rong'ji 2秒用力呼气容积
'3'miao'yong'li'hu'qi'rong'ji 3秒用力呼气容积
'50%'chao'qi'rong'ji'hu'qi'liu'liang 50%潮气容积呼气流量
'6'fen'zhong'bu'xing'shi'yan 6分钟步行试验
'6'miao'yong'li'hu'qi'rong'ji 6秒用力呼气容积
'ban'ru'gan'lu'ju'tang'kang'yuan'shi'yan 半乳甘露聚糖抗原试验
'75%'chao'qi'rong'ji'hu'qi'liu'liang 75%潮气容积呼气流量
'fei'dong'mai'zao'ying 肺动脉造影
'×'she'xian ×射线
'BD'pu'ju'tang'jian'ce B-D-葡聚糖检测
'bi'qi'dao'zu'li 比气道阻力
'bi'shun'ying'xing 比顺应性
'bi'he'rong'ji 闭合容积
'bi'he'rong'ji'qu'xian 闭合容积曲线
'bi'he'rong'liang 闭合容量
'biao'zhun'fei'rong'ji'gui'ji 标准肺容积轨迹
'biao'zhun'huan'chong'jian 标准缓冲碱
'biao'zhun'jian'sheng'yu 标准碱剩余
'yu'she'chao'qi'rong'ji 预设潮气容积
'yu'she'hu'xi'pin'lv 预设呼吸频率
'yu'she'xi'hu'qi'shi'jian'bi 预设吸呼气时间比
'yu'she'xi'qi'shi'jian'fen'shu 预设吸气时间分数
'yun'xu'xing'di're'liang'ce'lve 允许性低热量策略
'zao'qi'mu'biao'zhi'dao'zhi'liao 早期目标指导治疗
'zhen'duan'xing'shou'shu 诊断性手术
'zhen'tong'yu'zhen'jing 镇痛与镇静
'zheng'ya'tong'qi 正压通气
'zheng'ya'tong'qi'lian'jie 正压通气连接
'zhi'qi'guan'dong'mai'shuan'se'shu 支气管动脉栓塞术
'zhi'qi'guan'fei'pao'guan'xi 支气管肺泡灌洗
'zhi'qi'guan'jing'jian'cha 支气管镜检查
'zhi'qi'guan'nei'zhu'yao 支气管内注药
'zhi'qi'guan're'cheng'xing'shu 支气管热成形术
'zhi'jie'fei'pao'tong'qi 直接肺泡通气
'zhi'jie'she'zhi'chao'qi'rong'ji 直接设置潮气容积
'zhi'jie'ting'ji'fa 直接停机法
'zhi'ling'fen'zhong'tong'qi 指令分钟通气
'zhong'deng'shui'ping'hu'qi'mo'zheng'ya 中等水平呼气末正压
'zhong'nong'du'yang'liao 中浓度氧疗
'zi'dong'chi'xu'qi'dao'zheng'ya 自动持续气道正压
'zi'dong'dao'guan'bu'chang 自动导管补偿
'zi'dong'qi'liu 自动气流
'zi'ran'hu'xi 自然呼吸
'zi'zhu'chu'fa 自主触发
'zi'zhu'hu'xi 自主呼吸
'zi'zhu'xian'zhi 自主限制
'zi'zhu'zhuan'huan 自主转换
'zong'he'zhi'liao 综合治疗
'zui'jia'hu'qi'mo'zheng'ya 最佳呼气末正压
'biao'zhun'tan'suan'yan 标准碳酸盐
'biao'mian'zhang'li 表面张力
'bo'xing'tu'jian'ce 波形图监测
'bo'ge'ping'fen 博格评分
'bu'hu'qi'liang 补呼气量
'bu'xi'qi'liang 补吸气量
'can'qi'liang 残气量
'can'zong'qi'liang'bai'fen'bi 残总气量百分比
'ce'wei'fei'gong'neng 侧位肺功能
'chao'qi'hu'qi'feng'liu'liang 潮气呼气峰流量
'chao'qi'hu'xi'liu'liang'rong'ji'qu'xian 潮气呼吸流量-容积曲线
'chao'qi'qi'liang 潮气气量
'chu'fa'shi'jian 触发时间
'ci'gong'zhen'cheng'xiang 磁共振成像
'da'feng'rong'ji 达峰容积
'da'feng'rong'ji'bi 达峰容积比
'da'feng'shi'jian 达峰时间
'da'feng'shi'jian'bi 达峰时间比
'da'qi'er'yang'hua'tan'fen'ya 大气二氧化碳分压
'da'qi'er'yang'hua'tan'nong'du 大气二氧化碳浓度
'dai'xie'dang'liang 代谢当量
'dan'bai'zhi'hu'xi'shang 蛋白质呼吸商
'dan'nong'du'san'xiang'xie'lv 氮浓度Ⅲ相斜率
'dao'ge'la'si'qi'dai'fa 道格拉斯气袋法
'deng'er'yang'hua'tan'guo'du'tong'qi'ji'fa'shi'yan 等二氧化碳过度通气激发试验
'deng'rong'ji'ya'li'liu'liang'qu'xian 等容积压力-流量曲线
'di'shen'ya 低渗压
'di'wei'guai'dian 低位拐点
'di'wei'guai'dian'ya'li 低位拐点压力
'di'wei'guai'dian'rong'ji 低位拐点容积
'di'wei'ping'tan'duan 低位平坦段
'di'yang'ji'fa'shi'yan 低氧激发试验
'di'yang'tong'qi'ying'da 低氧通气应答
'di'1'miao'yong'li'hu'qi'rong'ji'xia'jiang'（20%'ji'fa'ji'liang'） 第1秒用力呼气容积下降（20%激发剂量）
'di'1'miao'yong'li'hu'qi'rong'ji'xia'jiang'（20%'ji'fa'nong'du'） 第1秒用力呼气容积下降（20%激发浓度）
'di'1'miao'yong'li'hu'rong'ji 第1秒用力呼容积
'dian'zi'zhi'qi'guan'jing 电子支气管镜
'dong'mai'hun'he'jing'mai'xue'yang'han'liang'cha 动脉-混合静脉血氧含量差
'dong'mai'jing'mai'xue'yang'han'liang'cha 动脉-静脉血氧含量差
'dong'mai'xue'er'yang'hua'tan'fen'ya 动脉血二氧化碳分压
'dong'mai'xue'qi 动脉血气
'dong'mai'xue'qi'fen'xi 动脉血气分析
'dong'mai'xue'qi'ti'zong'ya 动脉血气体总压
'dong'mai'xue'tong'ti'bi 动脉血酮体比
'dong'mai'xue'yang'bao'he'du 动脉血氧饱和度
'dong'mai'xue'yang'fen'ya 动脉血氧分压
'dong'mai'xue'yang'han'liang 动脉血氧含量
'dong'mai'xue'yang'yun'shu'liang 动脉血氧运输量
'dong'tai'fei'shun'ying'xing 动态肺顺应性
'dong'tai'hu'xi'huan 动态呼吸环
'dong'tai'hu'xi'xi'tong'shun'ying'xing 动态呼吸系统顺应性
'dong'tai'shun'ying'xing 动态顺应性
'dong'tai'shun'ying'xing 动态顺应性
'dong'tai'shun'ying'xing 动态顺应性
'dong'tai'shun'ying'xing 动态顺应性
'dong'tai'xiong'kuo'shun'ying'xing 动态胸廓顺应性
'duo'dao'shui'mian'tu 多导睡眠图
'duo'qi'guan'gong'neng'zhang'ai'ping'fen 多器官功能障碍评分
'er'yang'hua'tan'bo'xing'tu 二氧化碳波形图
'er'yang'hua'tan'chan'sheng'liang 二氧化碳产生量
'er'yang'hua'tan'jie'li'qu'xian 二氧化碳解离曲线
'yang'hua'tan'pai'chu'liang 氧化碳排出量
'er'yang'hua'tan'tong'qi'dang'liang 二氧化碳通气当量
'fei'dan'bai'hu'xi'shang 非蛋白呼吸商
'fei'pin'lv'yi'lai'xing'dong'tai'shun'ying'xing 非频率依赖性动态顺应性
'fei'tan'suan'yan'huan'chong'jian 非碳酸盐缓冲碱
'fei'te'yi'xing'zhi'qi'guan'ji'fa'shi'yan 非特异性支气管激发试验
'fei'dong'mai'ping'jun'ya 肺动脉平均压
'fei'dong'mai'shou'suo'ya 肺动脉收缩压
'fei'dong'mai'shu'zhang'ya 肺动脉舒张压
'fei'dong'mai'xie'ya 肺动脉楔压
'fei'dong'mai'ya 肺动脉压
'fei'er'yang'hua'tan'mi'san'liang 肺二氧化碳弥散量
'fei'gong'neng 肺功能
'fei'gong'neng'jian'cha 肺功能检查
'fei'gong'neng'jian'cha'yi 肺功能检查仪
'fei'gong'neng'xia'jiang 肺功能下降
'fei'guan'xing'zu'li 肺惯性阻力
'fei'guan'zhu'xian'xiang 肺灌注显像
'fei'huo'liang 肺活量
'fei'jian'zhi'fu'ya 肺间质负压
'fei'jian'zhi'ya 肺间质压
'fei'jing'mai'ya 肺静脉压
'fei'liang'ji'fa 肺量计法
'fei'mao'xi'xue'guan'jing'shui'ya 肺毛细血管静水压
'fei'mao'xi'xue'guan'kua'bi'ya 肺毛细血管跨壁压
'fei'mao'xi'xue'guan'lin'jie'kai'fang'ya 肺毛细血管临界开放压
'fei'mao'xi'xue'guan'xue'yang'bao'he'du 肺毛细血管血氧饱和度
'fei'mao'xi'xue'guan'xue'yang'fen'ya 肺毛细血管血氧分压
'fei'mao'xi'xue'guan'xue'yang'han'liang 肺毛细血管血氧含量
'fei'mi'san'liang 肺弥散量
'fei'pao'biao'mian'zhang'li 肺泡表面张力
'fei'pao'dong'mai'xue'yang'fen'ya'cha 肺泡-动脉血氧分压差
'fei'pao'qi'er'yang'hua'tan'fen'ya 肺泡气二氧化碳分压
'fei'pao'qi'er'yang'hua'tan'nong'du 肺泡气二氧化碳浓度
'fei'pao'tong'liang 肺泡通量
'fei'pao'tong'qi'liang'dong'mai'xue'er'yang'hua'tan'fen'ya'guan'xi'qu'xian 肺泡通气量-动脉血二氧化碳分压关系曲线
'fei'pao'ya 肺泡压
'fei'pao'yang'fen'ya 肺泡氧分压
'fei'pao'yang'nong'du 肺泡氧浓度
'fei'shun'ying'xing 肺顺应性
'fei'tan'xing'zu'li 肺弹性阻力
'fei'tong'qi'gong'neng'zhang'ai 肺通气功能障碍
'fei'tong'qi'xian'xiang 肺通气显像
'fei'xue'guan'nei'ya 肺血管内压
'fei'xue'guan'zu'li 肺血管阻力
'fei'xue'guan'wai'ya'li 肺血管外压力
'fei'xue'liu'liang 肺血流量
'fei'xue'rong'ji 肺血容积
'fei'ya'li'rong'ji'qu'xian 肺压力-容积曲线
'fei'yang'mi'san'liang 肺氧弥散量
'fei'yi'yang'hua'tan'mi'san'liang 肺一氧化碳弥散量
'fei'zang'jie'ru'ji'shu 肺脏介入技术
'fei'zong'liang 肺总量
'fei'zu'li 肺阻力
'fei'zu'zhi'nian'xing'zu'li 肺组织黏性阻力
'fen'ce'fei'gong'neng 分侧肺功能
'fen'ci'fei'huo'liang 分次肺活量
'gao'er'yang'hua'tan'tong'qi'ying'da 高二氧化碳通气应答
'gao'ru'suan'shi'jian 高乳酸时间
'gao'shen'yan'shui'ji'fa'shi'yan 高渗盐水激发试验
'gao'wei'guai'dian 高位拐点
'gao'wei'guai'dian'rong'ji 高位拐点容积
'gao'wei'guai'dian'ya'li 高位拐点压力
'gao'wei'ping'tan'duan 高位平坦段
'ge'la'si'ge'hun'mi'liang'biao 格拉斯哥昏迷量表
'ge'ji'nai'shou'shi'jian 膈肌耐受时间
'ge'ji'ji'dian'tu 膈肌肌电图
'ge'ji'zhang'li'shi'jian'zhi'shu 膈肌张力时间指数
'gong'neng'can'qi'liang 功能残气量
'gong'neng'can'qi'liang'fei'zong'liang'bai'fen'bi 功能残气量肺总量百分比
'gong'neng'xing'xue'liu'dong'li'xue'jian'ce 功能性血流动力学监测
'hai'yang'liu'liang'rong'ji'qu'xian 氦氧流量-容积曲线
'hu'qi'chao'qi'rong'ji 呼气潮气容积
'hu'qi'fu'ya'ji'shu 呼气负压技术
'hu'qi'liu'liang'rong'ji'qu'xian 呼气流量-容积曲线
'hu'qi'mo'er'yang'hua'tan'fen'ya 呼气末二氧化碳分压
'hu'qi'mo'er'yang'hua'tan'nong'du 呼气末二氧化碳浓度
'hu'qi'mo'fei'rong'liang 呼气末肺容量
'hu'qi'mo'yang'fen'ya 呼气末氧分压
'hu'qi'mo'yang'nong'du 呼气末氧浓度
'hu'qi'shi'jian 呼气时间
'hu'qi'xiang'qi'dao'zu'li 呼气相气道阻力
'hu'qi'xiang'shi'jian 呼气相时间
'hu'qi'xiang'ya'li 呼气相压力
'hu'qi'ya'li'po'du 呼气压力坡度
'hu'qi'zhong'qi'liu'liang 呼气中期流量
'hu'xi'bo'xing 呼吸波形
'hu'xi'chu'bei 呼吸储备
'hu'xi'gong 呼吸功
'hu'xi'kun'nan'zhi'shu 呼吸困难指数
'hu'xi'qi'ti'jiao'huan'lv 呼吸气体交换率
'hu'xi'shang 呼吸商
'hu'xi'xi'tong'tan'xing'zu'li 呼吸系统弹性阻力
'hu'xi'xi'tong'dong'tai'zu'li 呼吸系统动态阻力
'hu'xi'xi'tong'guan'xing'zu'li 呼吸系统惯性阻力
'hu'xi'xi'tong'jing'tai'zu'li 呼吸系统静态阻力
'hu'xi'xi'tong'nian'xing'zu'li 呼吸系统黏性阻力
'hu'xi'xi'tong'shun'ying'xing 呼吸系统顺应性
'hu'xi'xi'tong'ya'li'rong'ji'qu'xian 呼吸系统压力-容积曲线
'hu'xi'xing'shi 呼吸形式
'hu'xi'zhi'shu 呼吸指数
'hu'xi'zhou'qi 呼吸周期
'hu'xi'zong'zu'kang 呼吸总阻抗
'hua'xue'jie'he'er'yang'hua'tan 化学结合二氧化碳
'huan'chong'jian 缓冲碱
'hun'he'hu'chu'qi'er'yang'hua'tan'fen'ya 混合呼出气二氧化碳分压
'hun'he'hu'chu'qi'er'yang'hua'tan'nong'du 混合呼出气二氧化碳浓度
'hun'he'hu'chu'qi'yang'fen'ya 混合呼出气氧分压
'hun'he'hu'chu'qi'yang'nong'du 混合呼出气氧浓度
'hun'he'hu'xi'shang 混合呼吸商
'hun'he'jing'mai'xue'yang'bao'he'du 混合静脉血氧饱和度
'hun'he'jing'mai'xue'yang'fen'ya 混合静脉血氧分压
'hun'he'jing'mai'xue'yang'han'liang 混合静脉血氧含量
'hun'he'shi'fa 混合室法
'ji'xie'tong'qi'jian'ce 机械通气监测
'ji'xie'tong'qi'pin'lv 机械通气频率
'ji'chu'fei'rong'ji 基础肺容积
'ji'chu'fei'rong'liang 基础肺容量
'ji'xing'sheng'li'xue'he'man'xing'jian'kang'zhuang'kuang'ping'jia 急性生理学和慢性健康状况评价
'ji'suan'ji'ti'ceng'she'ying 计算机体层摄影
'jia'ting'shui'mian'hu'xi'jian'ce 家庭睡眠呼吸监测
'jian'ce'chao'qi'rong'ji 监测潮气容积
'jian'ming'ji'xing'sheng'li'xue'ping'fen 简明急性生理学评分
'jian'sheng'yu 碱剩余
'jian'jie'ce'ding'fei'rong'liang 间接测定肺容量
'jiao'ti'shen'tou'ya 胶体渗透压
'jie'ti'shi'yan 阶梯试验
'jie'gou'can'shu'tu 结构参数图
'jie'he'yang 结合氧
'jie'he'jun'su'pi'nei'shi'yan'jie'guo'yi'chang 结核菌素皮内试验结果异常
'jie'he'jun'su'shi'yan 结核菌素试验
'jing'pi'chuan'ci'fei'huo'jian'shu 经皮穿刺肺活检术
'jing'pi'dong'mai'xue'yang'bao'he'du 经皮动脉血氧饱和度
'jing'pi'dong'mai'xue'yang'fen'ya 经皮动脉血氧分压
'jing'xiong'bi'zhen'xi'huo'jian'shu 经胸壁针吸活检术
'jing'zhi'qi'guan'jing'fei'huo'jian'shu 经支气管镜肺活检术
'jing'zhi'qi'guan'jing'huo'jian'shu 经支气管镜活检术
'jing'zhi'qi'guan'jing'qiang'nei'chao'sheng 经支气管镜腔内超声
'jing'ti'shen'tou'ya 晶体渗透压
'jing'dong'mai'xue'fen'liu'lv 静动脉血分流率
'jing'zhi'qi'guan'jing'zhen'xi'huo'jian'shu 经支气管镜针吸活检术
'jing'mai'xue'yang'fen'ya 静脉血氧分压
'jing'mai'xue'yang'bao'he'du 静脉血氧饱和度
'jing'mai'xue'yang'han'liang 静脉血氧含量
'jing'tai'fei'shun'ying'xing 静态肺顺应性
'jing'tai'hu'xi'xi'tong'shun'ying'xing 静态呼吸系统顺应性
'jing'tai'shun'ying'xing 静态顺应性
