# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-10
---
'f'yi FⅠ
'xin'sheng'er'nao'chu'xue 新生儿脑出血
'xin'sheng'er'nao'xing'ma'bi 新生儿脑性麻痹
'xin'sheng'er'nao'xing'tan'huan 新生儿脑性瘫痪
'xin'sheng'er'niao'dao'gan'ran 新生儿尿道感染
'xin'sheng'er'niao'du'zheng 新生儿尿毒症
'xin'sheng'er'ning'xue'zhang'ai 新生儿凝血障碍
'xin'sheng'er'nong'du'bing 新生儿脓毒病
'xin'sheng'er'nong'pao'bing 新生儿脓疱病
'xin'sheng'er'nong'pao'chuang 新生儿脓疱疮
'xin'sheng'er'nong'pi'bing 新生儿脓皮病
'xin'sheng'er'nuan'xiang 新生儿暖箱
'xin'sheng'er'ou'tu 新生儿呕吐
'xin'sheng'er'ou'xue 新生儿呕血
'xin'sheng'er'pao'zhen 新生儿疱疹
'xin'sheng'er'pi'fu'chu'xie 新生儿皮肤出血
'xin'sheng'er'pi'fu'mei'jun'gan'ran 新生儿皮肤霉菌感染
'xin'sheng'er'pi'fu'shi'zhen 新生儿皮肤湿疹
'xin'sheng'er'pi'fu'yan'se'gai'bian 新生儿皮肤颜色改变
'xin'sheng'er'pi'xia'huai'ju 新生儿皮下坏疽
'xin'sheng'er'pi'xia'zhi'fang'huai'ju 新生儿皮下脂肪坏疽
'xin'sheng'er'pi'xia'zhi'fang'huai'si 新生儿皮下脂肪坏死
'xin'sheng'er'pin'xue 新生儿贫血
'xin'sheng'er'po'shang'feng 新生儿破伤风
'xin'sheng'er'po'shang'feng'jian'ce 新生儿破伤风监测
'xin'sheng'er'qi 新生儿期
'xin'sheng'er'qi'dai'chu'xie 新生儿脐带出血
'xin'sheng'er'qi'dai'da'liang'chu'xie 新生儿脐带大量出血
'xin'sheng'er'qi'dai'qi'ta'chu'xie 新生儿脐带其他出血
'xin'sheng'er'qi'dai'rao'jing'tai'er 新生儿脐带绕颈胎儿
'xin'sheng'er'qi'guan'cha'guan'shu 新生儿气管插管术
'xin'sheng'er'qi'guan'yan 新生儿气管炎
'xin'sheng'er'qi'nong'zhong 新生儿脐脓肿
'xin'sheng'er'qi'ta'hu'xi'jiong'po 新生儿其他呼吸窘迫
'xin'sheng'er'qi'tie 新生儿脐贴
'xin'sheng'er'qi'xi'rou 新生儿脐息肉
'xin'sheng'er'qi'xiong 新生儿气胸
'xin'sheng'er'qi'yan 新生儿脐炎
'xin'sheng'er'qiao'mo'ji'ye 新生儿鞘膜积液
'xin'sheng'er'qing'du'zhi'xi 新生儿轻度窒息
'xin'sheng'er'qing'guang'yan 新生儿青光眼
'xin'sheng'er'qing'zi'zi'gan 新生儿青紫紫绀
'xin'sheng'er'que'xue'que'yang'xing'nao'bing 新生儿缺血缺氧性脑病
'xin'sheng'er'rong'xue'xing'huang'dan 新生儿溶血性黄疸
'xin'sheng'er'rong'xue'xing'pin'xue 新生儿溶血性贫血
'xin'sheng'er'rong'xue'zheng 新生儿溶血症
'xin'sheng'er'rong'xue'zheng'shai'cha 新生儿溶血症筛查
'xin'sheng'er'ru'fang'nong'zhong 新生儿乳房脓肿
'xin'sheng'er'ru'fang'zhong'zhang 新生儿乳房肿胀
'xin'sheng'er'ru'xian'yan 新生儿乳腺炎
'xin'sheng'er'sai'xian'yan 新生儿腮腺炎
'xin'sheng'er'shai'cha 新生儿筛查
'xin'sheng'er'shai'cha'cai'xie'ka 新生儿筛查采血卡
'xin'sheng'er'shai'cha'cai'xue'zhen 新生儿筛查采血针
'xin'sheng'er'shai'cha'zhuan'yong'yi'chun 新生儿筛查专用乙醇
'xin'sheng'er'shang'hu'xi'dao'gan'ran 新生儿上呼吸道感染
'xin'sheng'er'shang'ka 新生儿上卡
'xin'sheng'er'shang'ka'ji'shi'lv 新生儿上卡及时率
'xin'sheng'er'shen'shang'xian'chu'xie 新生儿肾上腺出血
'xin'sheng'er'sheng'li'xing'fu'xie 新生儿生理性腹泻
'xin'sheng'er'shi'fei 新生儿湿肺
'xin'sheng'er'shi'jue'yi'chang 新生儿视觉异常
'xin'sheng'er'shi'shui 新生儿嗜睡
'xin'sheng'er'shi'xue'xing'pin'xue 新生儿失血性贫血
'xin'sheng'er'shui'zhong 新生儿水肿
'xin'sheng'er'si'wang 新生儿死亡
'xin'sheng'er'si'wang'lv 新生儿死亡率
'xin'sheng'er'suan'zhong'du 新生儿酸中毒
'xin'sheng'er'tai'fen'xi'ru'zong'he'zheng 新生儿胎粪吸入综合症
'xin'sheng'er'tai'pan'shu'xue'zong'he'zheng 新生儿胎盘输血综合症
'xin'sheng'er'tang'niao'bing 新生儿糖尿病
'xin'sheng'er'te'shu'hu'li 新生儿特殊护理
'xin'sheng'er'te'shu'zhen'liao 新生儿特殊诊疗
'xin'sheng'er'ti'zhong'jian'shao 新生儿体重减少
'xin'sheng'er'tian'pao'chuang 新生儿天疱疮
'xin'sheng'er'tong'qi'ji'fei 新生儿通气机肺
'xin'sheng'er'tou'pi'jian'ce'xing'sun'shang 新生儿头皮监测性损伤
'xin'sheng'er'tun'yan 新生儿臀炎
'xin'sheng'er'tun'yan'zong'he'zheng 新生儿吞咽综合症
'xin'sheng'er'tuo'shui 新生儿脱水
'xin'sheng'er'tuo'shui're 新生儿脱水热
'xin'sheng'er'wei'chang'dao'chu'xie 新生儿胃肠道出血
'xin'sheng'er'wei'yang'bu'zu 新生儿喂养不足
'xin'sheng'er'wei'yang'guo'liang 新生儿喂养过量
'xin'sheng'er'wei'yang'wen'ti 新生儿喂养问题
'xin'sheng'er'wei'yang'wu'hui'liu 新生儿喂养物回流
'xin'sheng'er'wu'jun'xing'xin'ji'yan 新生儿无菌性心肌炎
'xin'sheng'er'xi'ru'nai 新生儿吸入奶
'xin'sheng'er'xi'ru'xing'fei'yan 新生儿吸入性肺炎
'xin'sheng'er'xi'ru'xue'ye 新生儿吸入血液
'xin'sheng'er'xi'ru'yang'shui'he'nian'ye 新生儿吸入羊水和粘液
'xin'sheng'er'xi'ru'zong'he'zheng 新生儿吸入综合症
'xin'sheng'er'xi'wei 新生儿洗胃
'xin'sheng'er'xian'tian'xing'yin'nang'shui'zhong 新生儿先天性阴囊水肿
'xin'sheng'er'xiao'hua'bu'liang 新生儿消化不良
'xin'sheng'er'xiao'hua'dao'chu'xie 新生儿消化道出血
'xin'sheng'er'xiao'hua'xing'kui'yang 新生儿消化性溃疡
'xin'sheng'er'xin'li'shuai'jie 新生儿心力衰竭
'xin'sheng'er'xin'lv'bu'qi 新生儿心律不齐
'xin'sheng'er'xin'lv'shi'chang 新生儿心律失常
'xin'sheng'er'xin'men'chuan'ci'shu 新生儿囟门穿刺术
'xin'sheng'er'xin'zang'ting'bo 新生儿心脏停搏
'xin'sheng'er'xing'wei'ce'ding 新生儿行为测定
'xin'sheng'er'xing'wei'ping'jia'liang'biao 新生儿行为评价量表
'xin'sheng'er'xiu'ke 新生儿休克
'xin'sheng'er'xue'shuan'xing'jing'mai'yan 新生儿血栓性静脉炎
'xin'sheng'er'xue'xiao'ban'jian'shao 新生儿血小板减少
'xin'sheng'er'xun'huan'shuai'jie 新生儿循环衰竭
'xin'sheng'er'xun'ma'zhen 新生儿荨麻疹
'xin'sheng'er'yan'bu'sun'shang 新生儿咽部损伤
'xin'sheng'er'yan'shi 新生儿厌食
'xin'sheng'er'yan'xue'zong'he'zheng 新生儿咽血综合症
'xin'sheng'er'yan'yan 新生儿眼炎
'xin'sheng'er'yao'wu'che'li'zong'he'zheng 新生儿药物撤离综合症
'xin'sheng'er'yi'gan 新生儿乙肝
'xin'sheng'er'yi'wai'ji'xie'xing'zhi'xi 新生儿意外机械性窒息
'xin'sheng'er'yin'dao'chu'xue 新生儿阴道出血
'xin'sheng'er'ying'hua'bing 新生儿硬化病
'xin'sheng'er'ying'hua'zheng 新生儿硬化症
'xin'sheng'er'ying'pi'bing 新生儿硬皮病
'xin'sheng'er'ying'zhong'bing 新生儿硬肿病
'xin'sheng'er'yuan'fa'xing'fei'bu'zhang 新生儿原发性肺不张
'xin'sheng'er'yun'dong'guo'du 新生儿运动过度
'xin'sheng'er'yun'dong'jian'shao 新生儿运动减少
'xin'sheng'er'yun'dong'zhang'ai 新生儿运动障碍
'xin'sheng'er'zan'shi'xing'di'qiu'dan'bai 新生儿暂时性低球蛋白
'xin'sheng'er'zhen 新生儿疹
'xin'sheng'er'zhen'chan 新生儿震颤
'xin'sheng'er'zhi'chang'chu'xie 新生儿直肠出血
'xin'sheng'er'zhi'qi'guan'fei'yan 新生儿支气管肺炎
'xin'sheng'er'zhi'qi'guan'yan 新生儿支气管炎
'xin'sheng'er'zhi'xi 新生儿窒息
'xin'sheng'er'zhong'du'xing'hong'ban 新生儿中毒性红斑
'xin'sheng'er'zhong'du'zhi'xi 新生儿重度窒息
'xin'sheng'er'zhong'er'yan 新生儿中耳炎
'xin'sheng'er'zi'dian 新生儿紫癜
'xin'sheng'er'zi'gan 新生儿紫绀
'xin'sheng'er'zi'xian'xing'chu'xue'bing 新生儿自限性出血病
'xin'sheng'er'zu'shui'zhong 新生儿足水肿
'xin'sheng'hua'chong'ji 新生化冲剂
'xin'sheng'hua'ke'li 新生化颗粒
'xin'sheng'hua'pian 新生化片
'xin'sheng'hua'pian'bo'mo'yi 新生化片薄膜衣
'xin'sheng'kang'yuan 新生抗原
'xin'sheng'mei'su 新生霉素
'xin'sheng'mei'su'gai 新生霉素钙
'xin'sheng'mei'su'na 新生霉素钠
'xin'sheng'qi'nai'shou 新生期耐受
'xin'sheng'shuang'an 心圣双安
'xin'sheng'xue'guan'xing'qing'guang'yan 新生血管性青光眼
'xin'sheng'yi'wei 新生易位
'xin'shi'bi'liu 心室壁瘤
'xin'shi'bing'sun'qie'chu'shu 心室病损切除术
'xin'shi'can'liu'yi'wu 心室残留异物
'xin'shi'chan'dong 心室颤动
'xin'shi'chong'ying 心室充盈
'xin'shi'dong'mai'lian'jie'bu'xie'tiao 心室动脉连接不协调
'xin'shi'fan'xiang 心室反向
'xin'shi'fei'da 心室肥大
'xin'shi'fei'hou 心室肥厚
'xin'shi'feng'he'shu 心室缝合术
'xin'shi'fu'zhu'zhuang'zhi 心室辅助装置
'xin'shi'gong'neng'qu'xian 心室功能曲线
'xin'shi'jian'ge'que'sun'zong'he'zheng 心室间隔缺损综合症
'xin'shi'jian'ya'shu 心室减压术
'xin'shi'jiao'jie'e'xing'zhong'liu 心室交界恶性肿瘤
'xin'shi'kuo'da 心室扩大
'xin'shi'liu'chu'dao 心室流出道
'xin'shi'liu'chu'dao'bu'pian'shu 心室流出道补片术
'xin'shi'liu'ru'dao 心室流入道
'xin'shi'nei'jiu'jing'zhu'she'shu 心室内酒精注射术
'xin'shi'po'lie'feng'he'shu 心室破裂缝合术
'xin'shi'pu'dong 心室扑动
'xin'shi'que'de 新适确得
'xin'shi're'jue'yuan 心室热绝缘
'xin'shi'shou'suo 心室收缩
'xin'shi'shou'suo'qi 心室收缩期
'xin'shi'shu'zhang'qi 心室舒张期
'xin'shi'shuang'ru'kou 心室双入口
'xin'shi'ti'du 心室梯度
'xin'shi'wan'dian'wei 心室晚电位
'xin'shi'xian'chan 心室纤颤
'xin'shi'xue'shuan 心室血栓
'xin'shi'zao'ying'shu 心室造影术
'xin'shi'zhong'liu'qie'chu'shu 心室肿瘤切除术
'xin'shi'zi'zhu'xin'lv 心室自主心律
'xin'shou'zong'he'zheng 心手综合征
'xin'shu'bao'jiao'nang 心舒宝胶囊
'xin'shu'bao'pian 心舒宝片
'xin'shu'chu'liang 心输出量
'xin'shu'chu'liang'ce'ding 心输出量测定
'xin'shu'jiao'nang 心舒胶囊
'xin'shu'jing'xi'ru'ji 心舒静吸入剂
'xin'shu'le'pian 心舒乐片
'xin'shu'li'da 欣舒力达
'xin'shu'ning'pian 心舒宁片
'xin'shu'shi'ning 欣舒施宁
'xin'shuai'ke'ning 新帅克宁
'xin'shuai'xi'bao 心衰细胞
'xin'su'ning'jiao'nang 心速宁胶囊
'xin'su'xiao'gan'mao'pian 新速效感冒片
'xin'tai'luo'qi 新泰洛其
'xin'ti'ka'song 新体卡松
'xin'tong'ding 心痛定
'xin'tong'ding'pian 心痛定片
'xin'tong'feng'shi 心痛风石
'xin'tong'kang'jiao'nang 心痛康胶囊
'xin'tong'kang'pian 心痛康片
'xin'tong'ke'li 心通颗粒
'xin'tong'kou'fu'ye 心通口服液
'xin'tong'ning'di'wan 心痛宁滴丸
'xin'tong'ning'ke'li 心痛宁颗粒
'xin'tong'ning'pen'wu'ji 心痛宁喷雾剂
'xin'tong'shu'pen'wu'ji 心痛舒喷雾剂
'xin'wai'guan'dao'shu 心外管道术
'xin'wai'kai'xiong'tan'cha'shu 心外开胸探查术
'xin'wai'mo'ban 心外膜斑
'xin'wai'mo'qi'bo'dao'xian 心外膜起搏导线
'xin'wai'mo'qi'bo'dian'ji'dao'xian 心外膜起搏电极导线
'xin'wei'huo'sheng'zheng 心胃火盛证
'xin'wei'ta'ka'yin 新维他卡因
'xin'wei'zhi'tong 心胃止痛
'xin'wei'zhi'tong'jiao'nang 心胃止痛胶囊
'xin'wen'jie'biao 辛温解表
'xin'wu'you'pian 心无忧片
'xin'wu'you'pian'tang'yi 心无忧片糖衣
'xin'xi'bao'zhi 新细胞质
'xin'xi'chao'fu'he 信息超负荷
'xin'xi'jia'gong'xin'li'xue 信息加工心理学
'xin'xi'tong 心系统
'xin'xia'man'tong 心下满痛
'xin'xia'ni'man 心下逆满
'xin'xia'pi'man 心下痞满
'xin'xia'pi'ying 心下痞硬
'xin'xia'ying'man 心下硬满
'xin'xian'an 心先安
'xin'xian'qi'liu 新鲜气流
'xin'xian'wei'san'jiao 心纤维三角
'xin'xiang'zhi'tong 辛香止痛
'xin'xiao'jing'mai'xue'liu 心小静脉血流
'xin'xin'shu'jiao'nang 心欣舒胶囊
'xin'xing'dong'chuang'ling 新星冻疮灵
'xin'xing'gou'pi 新型狗皮
'xin'xing'gou'pi'gao 新型狗皮膏
'xin'xing'nong'cun'he'zuo'yi'liao 新型农村合作医疗
'xin'xing'wei'zhu'yi 新行为主义
'xin'xing'yin'qiu'jun 新型隐球菌
'xin'xing'yin'qiu'jun'xing'nao'mo'yan 新型隐球菌性脑膜炎
'xin'xing'zheng'lin'suan'yan 新型正磷酸盐
'xin'xiong'fan're 心胸烦热
'xin'xu'dan'qie 心虚胆怯
'xin'xu'dan'qie'zheng 心虚胆怯证
'xin'xu'jing'ji 心虚惊悸
'xin'xu'xue'shao'zheng 心虚血少证
'xin'xue'bao'jiao'nang 新血宝胶囊
'xin'xue'bu'zu 心血不足
'xin'xue'bu'zu'zheng 心血不足证
'xin'xue'er'kou'fu'ye 新血尔口服液
'xin'xue'guan'bian'xing 心血管变性
'xin'xue'guan'bu'pian 心血管补片
'xin'xue'guan'ji'bing 心血管疾病
'xin'xue'guan'mei'du 心血管梅毒
'xin'xue'guan'xi 心血管系
'xin'xue'guan'xi'tong 心血管系统
'xin'xue'guan'xing'shen'jing'guan'neng'zheng 心血管性神经官能症
'xin'xue'guan'yi'wai 心血管意外
'xin'xue'guan'ying'hua 心血管硬化
'xin'xue'guan'zao'ying 心血管造影
'xin'xue'guan'zhong'shu 心血管中枢
'xin'xue'jiao'nang 新雪胶囊
'xin'xue'ke'li 新雪颗粒
'xin'xue'ke'li'bo'mo'yi'ke'li 新雪颗粒薄膜衣颗粒
'xin'xue'kui'xu'zheng 心血亏虚证
'xin'xue'ning'pian 心血宁片
'xin'xue'ning'pian'bo'mo'yi 心血宁片薄膜衣
'xin'xue'pian'bo'mo'yi 新雪片薄膜衣
'xin'xue'tong 心血通
'xin'xue'xu'zheng 心血虚证
'xin'xue'yu'zu 心血瘀阻
'xin'xue'yu'zu'zheng 心血瘀阻证
'xin'ya'dan'xiao 新亚丹消
'xin'ya'li'da 新亚力达
'xin'ya'ya'tai 新亚雅太
'xin'yan'shi'you 新眼视优
'xin'yan'zhi'hong 新胭脂红
'xin'yan'zhi'hong'lv'se'dian 新胭脂红铝色淀
'xin'yang'bao'tuo'zheng 心阳暴脱证
'xin'yang'bu'tong 心阳不通
'xin'yang'bu'zhen'zheng 心阳不振证
'xin'yang'bu'zu'zheng 心阳不足证
'xin'yang'kui'xu'zheng 心阳亏虚证
'xin'yang'xu'shuai'zheng 心阳虚衰证
'xin'yang'xu'zheng 心阳虚证
'xin'yang'yu'tuo'zheng 心阳欲脱证
'xin'yi'bi'yan 辛夷鼻炎
'xin'yi'bi'yan'wan 辛夷鼻炎丸
'xin'yi'hao'jiao'nang 心益好胶囊
'xin'yi'hao'pian 心益好片
'xin'yi'hua 辛夷花
'xin'yi'wang'chun'hua 辛夷望春花
'xin'yin'bu'zu'zheng 心阴不足证
'xin'yin'kui'sun'zheng 心阴亏损证
'xin'yin'kui'xu'zheng 心阴亏虚证
'xin'yin'pian'di 心音偏低
'xin'yin'tu'yi'chang 心音图异常
'xin'yin'xing'chang'wei'zhang'qi 心因性肠胃胀气
'xin'yin'xing'niao'pin 心因性尿频
'xin'yin'xing'niao'zhu'liu 心因性尿潴留
'xin'yin'xing'ou'tu 心因性呕吐
'xin'yin'xing'sheng'li'gong'neng'zhang'ai 心因性生理功能障碍
'xin'yin'xing'shi'mian 心因性失眠
'xin'yin'xing'tong'jing 心因性痛经
'xin'yin'xing'wu'shi'yu 心因性无食欲
'xin'yin'xing'xiao'hua'bu'liang 心因性消化不良
'xin'yin'xing'xie'jing 心因性斜颈
'xin'yin'xing'yang'wei 心因性阳萎
'xin'yin'xing'ye'niao'zheng 心因性夜尿症
'xin'yin'xing'yi'niao'zheng 心因性遗尿症
'xin'yin'xing'you'men'jing'luan 心因性幽门痉挛
'xin'yin'xing'zhang'ai 心因性障碍
'xin'yin'xing'zhuan'huan'fan'ying'zhen'chan 心因性转换反应震颤
'xin'yin'xu'zheng 心阴虚证
'xin'ying'hao'sun'gan'shen'bu'zu'zheng 心营耗损肝肾不足证
'xin'ying'hao'sun'zheng 心营耗损证
'xin'ying'kui'xu'zheng 心营亏虚证
'xin'yu'xiao'chang'xiang'biao'li 心与小肠相表里
'xin'yu'xing'cao'su 新鱼腥草素
'xin'yu'xing'cao'su'na 新鱼腥草素钠
'xin'yu'xing'cao'su'na'zhu'she'ye 新鱼腥草素钠注射液
'xin'yuan'bi'yun'tao 心愿避孕套
'xin'yuan'jiao'nang 心元胶囊
'xin'yuan'xing'cu'si 心原性猝死
'xin'yuan'xing'gan'ying'bian 心源性肝硬变
'xin'yuan'xing'shui'zhong 心源性水肿
'xin'yuan'xing'xiao'chuan 心源性哮喘
'xin'yuan'xing'xiu'ke 心源性休克
'xin'yuan'xing'yun'jue 心源性晕厥
'xin'yue'jiao'nang 心悦胶囊
'xin'yue'ti'xing'shen'xiao'qiu'shen'yan 新月体性肾小球肾炎
'xin'zang'ban'mo'bi'shi'kuo'zhang'shu 心脏瓣膜闭式扩张术
'xin'zang'ban'mo'bing 心脏瓣膜病
'xin'zang'ban'mo'bing'sun'qing'chu'shu 心脏瓣膜病损清除术
'xin'zang'ban'mo'zheng 心脏瓣膜症
'xin'zang'ban'mo'zhi'huan'shu'hou 心脏瓣膜置换术后
'xin'zang'biao'ce'tu 心脏标测图
'xin'zang'bing'kang'fu 心脏病康复
'xin'zang'bing'yin'duan 心脏病因段
'xin'zang'cai'se'duo'pu'le'chao'sheng 心脏彩色多普勒超声
'xin'zang'cha'guan 心脏插管
'xin'zang'chao'sheng'jian'cha 心脏超声检查
'xin'zang'chuan'dao'xi'tong'tui'xing'xing'bian 心脏传导系统退行性变
'xin'zang'chuan'dao'zu'zhi 心脏传导阻滞
'xin'zang'chuan'dao'zu'zhi'yin'qi'yun 心脏传导阻滞引起晕
'xin'zang'ci'ji'xi'tong'zhi'ru 心脏刺激系统植入
'xin'zang'cu'zhong 心脏卒中
'xin'zang'dao'guan'she'pin'xiao'rong'shu 心脏导管射频消融术
'xin'zang'dian'chu'chan'shu 心脏电除颤术
'xin'zang'dian'fu'lv'shu 心脏电复律术
'xin'zang'dian'ji'xie'fen'li 心脏电机械分离
'xin'zang'dian'sheng'li'zhen'liao 心脏电生理诊疗
'xin'zang'dong'mai'liu 心脏动脉瘤
'xin'zang'dong'mai'liu'po'lie'xiu'pu 心脏动脉瘤破裂修朴
'xin'zang'dong'mai'liu'qie'chu'shu 心脏动脉瘤切除术
'xin'zang'e'xing'zhong'liu 心脏恶性肿瘤
'xin'zang'e'xing'zhong'liu'zhai'chu'shu 心脏恶性肿瘤摘除术
'xin'zang'fei'da 心脏肥大
'xin'zang'fen'xi'ji'shu 心脏分析技术
'xin'zang'fu'zhu'xi'tong'qu'chu 心脏辅助系统去除
'xin'zang'geng'se 心脏梗塞
'xin'zang'gong'neng 心脏功能
'xin'zang'gu'ding'qi 心脏固定器
'xin'zang'hu'xi'shuai'jie 心脏呼吸衰竭
'xin'zang'huo'zu'zhi'jian'cha'shu 心脏活组织检查术
'xin'zang'ji'fa'e'xing'zhong'liu 心脏继发恶性肿瘤
'xin'zang'ji'xing 心脏畸形
'xin'zang'ji'xue'guan'xi'tong 心脏及血管系统
'xin'zang'ji'xue'guan'xi'tong'shou'shu 心脏及血管系统手术
'xin'zang'jian'ge'que'sun'du'bi'shu 心脏间隔缺损堵闭术
'xin'zang'jie'ru'chang'qiao'zu 心脏介入长鞘组
'xin'zang'jie'ru'chao'hua'dao'si 心脏介入超滑导丝
'xin'zang'jie'ru'dao'yin'dao'guan 心脏介入导引导管
'xin'zang'jie'ru'dao'yin'dao'si 心脏介入导引导丝
'xin'zang'jie'ru'pu'tong'dao'si 心脏介入普通导丝
'xin'zang'jie'ru'pu'tong'qiao'zu 心脏介入普通鞘组
'xin'zang'jie'ru'te'shu'chang'qiao'zu 心脏介入特殊长鞘组
'xin'zang'jie'ru'zao'ying'dao'guan 心脏介入造影导管
'xin'zang'jie'ru'zao'ying'dao'si 心脏介入造影导丝
'xin'zang'jie'ru'zhen'liao 心脏介入诊疗
'xin'zang'kuo'da 心脏扩大
'xin'zang'liang'xing'zhong'liu 心脏良性肿瘤
'xin'zang'liang'xing'zhong'liu'zhai'chu'shu 心脏良性肿瘤摘除术
'xin'zang'ma'bi'fa 心脏麻痹法
'xin'zang'ma'bi'ye 心脏麻痹液
'xin'zang'nian'ye'liu 心脏粘液瘤
'xin'zang'nian'ye'rou'liu 心脏粘液肉瘤
'xin'zang'pi'fu'zong'he'zheng 心脏皮肤综合症
'xin'zang'piao'fu'dao'guan 心脏漂浮导管
'xin'zang'po'lie 心脏破裂
'xin'zang'qi'bo'qi'qing'chuang'shu 心脏起博器清创术
'xin'zang'qi'bo'qi'shi'ling 心脏起搏器失灵
'xin'zang'qi'bo'qi'tiao'zheng'he'guan'li 心脏起博器调整和管理
'xin'zang'qi'bo'qi'yi'wei 心脏起博器移位
'xin'zang'qi'bo'qi'zhi'ru'shu 心脏起搏器植入术
'xin'zang'qie'kai'shu'hou'zong'he'zheng 心脏切开术后综合症
'xin'zang'ru'tou'ji'po'lie 心脏乳头肌破裂
'xin'zang'san'qiang'qi'bo'qi'zhi'ru 心脏三腔起搏器植入
'xin'zang'shen'jing'guan'neng'zheng 心脏神经官能症
'xin'zang'shen'jing'shou'ti'duan'ceng'xian'xiang 心脏神经受体断层显像
'xin'zang'shou'shu'ge'ren'shi 心脏手术个人史
'xin'zang'shou'shu'hou'gong'neng'zhang'ai 心脏手术后功能障碍
'xin'zang'shou'shu'hou'xin'li'shuai'jie 心脏手术后心力衰竭
'xin'zang'shu'hou 心脏术后
'xin'zang'shu'hou'di'xin'pai'zong'he'zheng 心脏术后低心排综合症
'xin'zang'shu'hou'zong'he'zheng 心脏术后综合症
'xin'zang'sun'shang 心脏损伤
'xin'zang'sun'shang'ban'xin'bao'ji'xue 心脏损伤伴心包积血
'xin'zang'tang'yuan'zhu'ji'bing 心脏糖原贮积病
'xin'zang'ting'bo 心脏停搏
'xin'zang'ting'bo'fu'su'cheng'gong 心脏停博复苏成功
'xin'zang'ting'bo'ye 心脏停搏液
'xin'zang'ting'bo'ye'guan'zhu'cha'guan 心脏停博液灌注插管
'xin'zang'wai'shang'xiu'bu'shu 心脏外伤修补术
'xin'zang'xian'chan 心脏纤颤
'xin'zang'xian'wei'zhi'jia 心脏纤维支架
'xin'zang'xuan'zhuan'bu'liang 心脏旋转不良
'xin'zang'xue'guan'duan 心脏血管段
'xin'zang'xue'guan'shou'shu 心脏血管手术
'xin'zang'xue'shuan'qing'chu 心脏血栓清除
'xin'zang'yi'chang'chuan'dao'shu'qie'duan'shu 心脏异常传导束切断术
'xin'zang'yi'wu 心脏异物
'xin'zang'yi'zhi'shi'bai'he'pai'chi 心脏移植失败和排斥
'xin'zang'yi'zhi'shu 心脏移植术
'xin'zang'yi'zhi'zhuang'tai 心脏移植状态
'xin'zang'yin'ying'yi'chang 心脏阴影异常
'xin'zang'yun'dong'guo'du'zong'he'zheng 心脏运动过度综合症
'xin'zang'za'yin 心脏杂音
'xin'zang'zhi'wu'shen'jing'gong'neng'wen'luan 心脏植物神经功能紊乱
'xin'zang'zhong'liu 心脏肿瘤
'xin'zang'zhong'wu'qie'chu'shu 心脏肿物切除术
'xin'zang'zhou'ting 心脏骤停
'xin'zhi'dan'bai 锌指蛋白
'xin'zhi'ju'pi'zhu'ru'tang 新制橘皮竹茹汤
'xin'zhong'ao'nao 心中懊憹
'xin'zhong'jing'mai 心中静脉
'xin'zhu'xue'mai 心主血脉
'xin'zhuo'yin'jie'wu'kuo'da 心浊音界无扩大
'xin'zu'kang'tu 心阻抗图
'xing'bei'zhi'ke 杏贝止咳
'xing'bei'zhi'ke'ke'li 杏贝止咳颗粒
'xing'biao'pi'zhi 型表皮痣
'xing'bie'cha'yi'du 性别差异度
'xing'bie'fen'hua 性别分化
'xing'bie'gai'bian'shu 性别改变术
'xing'bie'gai'zao'shu 性别改造术
'xing'bie'ji'yin'jian'ce 性别基因检测
'xing'bie'jue'ding 性别决定
'xing'bie'jue'ding'ji'yin 性别决定基因
'xing'bie'jue'se'she'hui'hua 性别角色社会化
'xing'bie'te'zheng'xing'cheng 性别特征形成
'xing'bing'lin'ba'rou'ya'zhong 性病淋巴肉芽肿
'xing'bing'xing'gui'tou'yan 性病性龟头炎
'xing'bing'xing'lin'ba'rou'ya'zhong 性病性淋巴肉芽肿
'xing'bing'xing'rou'ya'zhong 性病性肉芽肿
'xing'bing'yi'yuan'ti'kuai'su'jian'ce 性病衣原体快速检测
'xing'bing'zhi'yuan'ti'jian'ce 性病支原体检测
'xing'bo'li'lun 行波理论
'xing'cao'shi'gao'jiang'zao'cang 杏草石膏姜枣藏
'xing'chang'xi'rou 型肠息肉
'xing'cheng'shu'zhang'ai 性成熟障碍
'xing'cheng'xi'bao 形成细胞
'xing'chong'cuo'jue 形重错觉
'xing'chuan'bo'ji'bing 性传播疾病
'xing'da'pao'xing'biao'pi'song'jie'zheng 型大疱性表皮松解症
'xing'dan'dao'yin'liu'guan 型胆道引流管
'xing'di'zhan'gu'shui'ni'zhu'ru'qi 型低粘骨水泥注入器
'xing'dian're'guan 型电热管
'xing'dian're'guan'pian 型电热管片
'xing'fa'wei'she'li 刑罚威慑力
'xing'fa'xin'li'xue 刑罚心理学
'xing'fa'yu'bu'quan 性发育不全
'xing'fen'hua 性分化
'xing'fen'shou'suo'ou'lian 兴奋收缩耦联
'xing'fen'xing'jing'shen'bing 兴奋型精神病
'xing'fen'xing'tu'chu 兴奋性突触
'xing'fen'xing'tu'chu'hou'dian'wei 兴奋性突触后电位
'xing'fen'zeng'qiang 兴奋增强
'xing'fu'bao'da'lin 幸福保达琳
'xing'fu'lai'dong'chong'xia'cao 幸福来冬虫夏草
